age_bracket,gender_nonnumeric,category,amount,fraud,gender,beauty,fashion,food,health,home,hotels,leisure,other,restaurants,sports,tech,transport,travel
3,F,transport,48.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,health,33.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,F,transport,21.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,12.14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,56.85,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,transport,26.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,37.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,22.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,28.75,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,health,66.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,F,food,36.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,M,transport,13.68,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,15.78,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,25.89,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,M,transport,39.28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,26.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,transport,45.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,M,transport,61.28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,50.97,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,36.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,33.51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,F,transport,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,F,transport,63.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,27.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,food,13.39,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,F,transport,37.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,24.72,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,beauty,62.93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,M,transport,21.67,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,F,health,77.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,M,health,161.99,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4,M,transport,11.53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,39.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,53.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,transport,56.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,M,transport,81.37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,transport,23.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,18.45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,40.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,20.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,8.51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,fashion,76.94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,M,transport,23.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,18.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,health,112.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,F,transport,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,40.51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,44.34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,18.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,28.83,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,55.15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,M,transport,2.41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,41.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,M,transport,11.57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,32.41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,M,transport,36.54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,M,health,8.79,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,M,transport,1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,38.67,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,28.47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,F,transport,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,10.22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,43.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,M,health,226.73,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,M,hotels,244.01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,M,transport,11.38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,30.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,10.41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,fashion,1.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,F,food,61.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,M,transport,16.09,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,F,health,95.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,F,transport,49.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,43.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,32.02,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,27.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,beauty,94.06,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,F,hotels,48.89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,F,transport,44.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,F,transport,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,44.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,17.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,M,fashion,93.41,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,M,transport,31.72,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,35.54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,30.97,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,F,transport,49.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,27.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,37.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,fashion,22.76,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,F,transport,42.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,34.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,28.45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,6.45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,6.56,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,42.76,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,M,transport,18.89,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,M,transport,57.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,F,transport,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,health,87.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,M,transport,9.96,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,36.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,2.21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,35.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,F,transport,29.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,M,transport,6.79,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,beauty,32.36,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,M,fashion,6.91,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,F,transport,21.59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,sports,4.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,F,transport,16.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,F,transport,22.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,41.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,30.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,52.29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,health,80.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,F,transport,20.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,F,transport,40.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,7.89,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,17.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,16.65,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,37.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,15.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,food,51.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,F,transport,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,F,transport,26.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,29.77,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,20.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,M,transport,6.72,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,F,beauty,60.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,F,transport,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,14.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,66.54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,18.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,38.83,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,transport,64.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,50.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,63.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,4.04,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,37.81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,55.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,M,transport,32.12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,food,60.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,M,transport,13.06,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,M,transport,34.51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,M,transport,4.64,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,M,food,89.37,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,F,transport,28.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,1.26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,F,transport,29.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,26.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,F,transport,25.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,M,transport,51.34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,4.76,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,71.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,25.01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,health,74.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,M,transport,12.26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,M,transport,25.98,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,F,health,106.36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,F,transport,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,29.87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,5.27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,F,transport,20.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,4.05,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,11.62,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,transport,45.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,M,transport,35.87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,restaurants,111.52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,M,transport,39.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,M,transport,10.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,F,fashion,32.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,M,transport,20.91,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,F,transport,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,M,transport,30.86,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,M,transport,0.97,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
