Variable01,Variable02,Variable03,Variable04,Variable05,Variable06,Variable07,Variable08,Variable09,Variable10,Variable11,Variable12,Variable13,Variable14,Variable15,Variable16,Variable17,Variable18,Variable19,Variable20,Variable21,Variable22,Variable23,Variable24,Variable25,Variable26,Variable27,Variable28,Amount,Class
1.74,-1.38,-1.05,-0.39,-1.15,-1.10,-0.95,-0.02,-0.03,0.23,1.65,-0.68,-1.15,-1.86,-0.26,1.50,1.62,0.06,0.27,0.24,0.35,0.89,0.03,0.42,-0.42,-0.17,-0.01,0.01,215.46,0
0.70,-1.82,0.56,-0.28,-1.75,0.12,-0.48,0.13,-0.67,0.47,1.63,0.40,-0.15,-0.27,-0.77,0.64,0.87,-1.72,0.72,0.55,0.11,-0.26,-0.13,0.24,0.07,-0.45,-0.02,0.07,324.63,0
0.85,-0.76,0.99,0.21,-1.24,0.06,-0.60,0.28,1.24,-0.45,-0.66,0.01,-1.35,-0.27,0.09,-0.39,0.40,-0.94,0.09,-0.08,-0.17,-0.40,0.08,0.12,0.00,0.79,-0.04,0.02,56.38,0
0.11,0.79,-2.01,-1.85,3.47,2.89,0.35,0.92,-0.18,-0.79,0.12,-0.13,-0.46,-0.90,0.17,0.22,0.37,-0.33,-0.45,0.04,-0.28,-0.72,0.12,0.51,-0.45,0.18,0.25,0.08,0.78,0
1.13,0.28,0.19,1.02,-0.13,-0.63,0.10,-0.15,0.14,0.03,-0.84,-0.20,-0.39,0.39,0.93,0.34,-0.60,0.18,-0.19,-0.16,0.03,0.13,-0.15,-0.17,0.72,-0.27,0.02,0.02,7.05,0
-2.13,-2.32,0.66,0.11,3.77,-1.84,-0.41,-0.16,0.08,-0.26,-1.01,-0.66,-0.91,0.46,1.07,-0.46,-0.42,0.39,0.24,0.63,0.40,0.64,0.18,0.65,0.39,-0.10,-0.15,-0.02,58.41,0
0.22,0.85,0.21,0.72,-0.68,-0.40,-0.50,-1.26,0.58,0.40,-0.19,-0.75,-2.22,0.55,1.42,-0.19,0.31,-0.59,-0.15,-0.53,1.25,-0.80,0.71,0.27,-1.53,-0.01,-0.12,-0.14,8.49,0
1.06,-1.61,0.72,-1.50,-1.81,-0.21,-1.42,-0.04,-1.96,1.23,0.91,0.31,1.57,-0.48,0.04,0.09,-0.05,0.91,-0.10,0.01,0.12,0.52,-0.17,0.05,0.36,-0.07,0.03,0.04,152.32,0
-0.23,-2.48,0.16,-0.41,-2.17,-0.24,0.30,-0.24,2.24,-1.60,-0.64,1.81,0.97,-0.59,-0.31,-1.22,0.48,-0.17,0.99,1.66,0.52,0.21,-0.88,0.52,0.33,0.09,-0.07,0.15,630.00,0
1.10,0.17,-0.02,0.72,0.37,0.62,-0.11,0.23,-0.06,0.13,0.40,0.47,-0.19,0.52,0.61,0.47,-0.90,0.30,0.00,-0.12,-0.07,-0.13,-0.17,-1.05,0.67,-0.30,0.03,0.00,2.38,0
