Variable01,Variable02,Variable03,Variable04,Variable05,Variable06,Variable07,Variable08,Variable09,Variable10,Variable11,Variable12,Variable13,Variable14,Variable15,Variable16,Variable17,Variable18,Variable19,Variable20,Variable21,Variable22,Variable23,Variable24,Variable25,Variable26,Variable27,Variable28,Amount,Class
-1.30,0.47,1.69,-1.89,-0.78,-0.19,-0.37,0.39,-1.07,-0.34,-0.70,-0.04,1.26,-0.70,-0.35,1.10,0.38,-1.12,0.34,0.05,0.55,1.19,-0.46,1.21,0.68,0.06,-0.33,-0.02,29.91,0
1.99,-0.41,-1.30,0.14,-0.16,-0.49,-0.07,-0.10,0.92,-0.03,0.25,0.81,-0.60,0.30,-1.07,-0.35,-0.38,0.24,0.74,-0.20,0.11,0.53,-0.04,-0.27,0.18,0.20,-0.04,-0.07,38.47,0
1.59,-1.27,-0.98,-2.50,0.83,3.15,-1.75,0.89,-2.00,1.41,-0.21,-0.98,0.58,-0.26,0.86,0.14,-0.08,0.34,0.13,-0.18,-0.41,-0.99,0.12,0.85,0.29,-0.41,0.04,0.03,27.26,0
-0.83,1.18,0.73,0.94,0.18,0.90,0.22,0.76,-0.61,-0.17,0.02,0.26,-0.76,0.64,-0.34,-0.65,0.28,0.24,1.21,0.07,0.01,0.15,-0.13,-0.79,0.01,-0.19,0.25,0.13,41.90,0
-1.07,1.43,1.60,2.27,1.45,0.30,0.98,0.14,-1.40,0.48,-1.79,-1.69,-2.20,0.34,-1.11,1.01,-0.99,0.20,-2.14,-0.32,0.24,0.53,-0.62,0.57,1.06,0.23,-0.15,0.03,10.48,0
1.56,-0.35,-0.08,-0.58,-0.86,-1.50,-0.09,-0.33,-0.95,0.73,-0.14,-1.06,-1.07,0.37,0.47,0.66,0.53,-1.55,0.48,-0.02,0.18,0.47,-0.12,0.74,0.73,-0.10,-0.04,0.00,13.50,0
2.18,-0.03,-1.13,0.38,-0.07,-1.15,0.19,-0.33,0.50,0.06,-0.56,0.63,0.41,0.23,0.05,-0.19,-0.26,-0.94,0.07,-0.22,-0.27,-0.66,0.31,0.00,-0.33,0.20,-0.07,-0.05,0.92,0
1.23,0.38,0.29,0.66,0.07,-0.48,0.05,-0.30,1.20,-0.45,0.18,-1.68,2.92,1.51,0.23,0.43,-0.06,-0.12,-0.02,-0.01,-0.44,-0.92,0.02,-0.47,0.34,0.11,-0.05,0.01,15.97,0
1.81,-0.50,-0.02,1.32,-0.70,0.30,-0.90,0.30,1.09,0.32,0.13,0.43,-0.78,0.11,0.10,0.94,-1.25,1.18,-0.25,-0.16,0.13,0.33,0.15,-0.56,-0.35,-0.65,0.05,-0.03,54.00,0
1.97,0.12,-1.80,0.24,0.57,-0.38,0.12,-0.10,0.18,-0.23,1.01,1.08,0.44,-0.69,-0.48,0.55,0.12,0.23,0.42,-0.10,-0.31,-0.87,0.28,0.25,-0.26,0.15,-0.06,-0.05,1.70,0
